industry_id,display_name_cn,sw_code,board_name,board_code,board_rank,board_pct_change,board_leader,stock_code,stock_name,latest_price,pct_change,turnover_amount,turnover_rate,representative_score,is_board_leader,candidate_rank
sw_l1_801150,医药生物,801150.SI,医药生物,BK1216,52,0.41,重药控股,603538,美诺华,42.32,6.36,3905407481.0,43.8,0.891039,False,1
sw_l1_801150,医药生物,801150.SI,医药生物,BK1216,52,0.41,重药控股,300436,广生堂,127.14,6.81,2909195011.06,16.92,0.883707,False,2
sw_l1_801150,医药生物,801150.SI,医药生物,BK1216,52,0.41,重药控股,002437,誉衡药业,3.82,7.61,1875186711.22,23.65,0.878615,False,3
sw_l1_801150,医药生物,801150.SI,医药生物,BK1216,52,0.41,重药控股,002821,凯莱英,126.65,3.94,3840448784.19,9.62,0.871894,False,4
sw_l1_801150,医药生物,801150.SI,医药生物,BK1216,52,0.41,重药控股,002082,万邦德,34.54,4.04,2601988648.28,14.32,0.869552,False,5
sw_l1_801160,公用事业,801160.SI,公用事业,BK0427,175,-1.11,川能动力,000155,川能动力,16.97,9.98,1464253494.7,4.86,0.919286,True,1
sw_l1_801160,公用事业,801160.SI,公用事业,BK0427,175,-1.11,川能动力,600821,金开新能,8.28,-8.41,2820979836.0,16.9,0.887143,False,2
sw_l1_801160,公用事业,801160.SI,公用事业,BK0427,175,-1.11,川能动力,002015,协鑫能科,16.39,-4.99,2833391970.67,10.51,0.870714,False,3
sw_l1_801160,公用事业,801160.SI,公用事业,BK0427,175,-1.11,川能动力,600310,广西能源,5.14,-9.98,1585589319.0,20.58,0.862857,False,4
sw_l1_801160,公用事业,801160.SI,公用事业,BK0427,175,-1.11,川能动力,600726,华电能源,5.32,-9.98,2315907549.0,5.53,0.857857,False,5
sw_l1_801170,交通运输,801170.SI,交通运输,BK1210,106,-0.48,招商轮船,601872,招商轮船,19.47,8.17,6428486573.0,4.09,0.993182,True,1
sw_l1_801170,交通运输,801170.SI,交通运输,BK1210,106,-0.48,招商轮船,601975,招商南油,4.8,6.43,2918003310.0,12.91,0.886364,False,2
sw_l1_801170,交通运输,801170.SI,交通运输,BK1210,106,-0.48,招商轮船,600026,中远海能,24.27,2.62,2984177499.0,3.48,0.872727,False,3
sw_l1_801170,交通运输,801170.SI,交通运输,BK1210,106,-0.48,招商轮船,600428,中远海特,9.6,4.92,920833112.0,3.93,0.858333,False,4
sw_l1_801170,交通运输,801170.SI,交通运输,BK1210,106,-0.48,招商轮船,600115,中国东航,4.37,-3.74,1043972468.0,1.41,0.850379,False,5
sw_l1_801180,房地产,801180.SI,房地产,BK1202,346,-1.99,京能置业,600791,京能置业,10.7,6.79,315292701.0,6.68,0.939583,True,1
sw_l1_801180,房地产,801180.SI,房地产,BK1202,346,-1.99,京能置业,600773,西藏城投,18.22,3.23,621942231.0,3.57,0.860937,False,2
sw_l1_801180,房地产,801180.SI,房地产,BK1202,346,-1.99,京能置业,600246,万通发展,9.16,-3.58,487543461.0,2.79,0.84375,False,3
sw_l1_801180,房地产,801180.SI,房地产,BK1202,346,-1.99,京能置业,000620,盈新发展,2.71,-4.58,430499435.86,3.36,0.841667,False,4
sw_l1_801180,房地产,801180.SI,房地产,BK1202,346,-1.99,京能置业,600895,张江高科,34.21,-3.74,696544175.0,1.3,0.834375,False,5
sw_l1_801200,商贸零售,801200.SI,商贸零售,BK1213,215,-1.39,吉峰科技,300022,吉峰科技,10.2,6.81,403458437.64,8.13,0.969,True,1
sw_l1_801200,商贸零售,801200.SI,商贸零售,BK1213,215,-1.39,吉峰科技,002183,怡 亚 通,5.38,-4.95,628575822.98,4.43,0.876,False,2
sw_l1_801200,商贸零售,801200.SI,商贸零售,BK1213,215,-1.39,吉峰科技,600539,狮头股份,14.09,-6.07,400753353.0,12.17,0.863,False,3
sw_l1_801200,商贸零售,801200.SI,商贸零售,BK1213,215,-1.39,吉峰科技,002315,焦点科技,38.72,-3.39,289387828.4,3.67,0.829,False,4
sw_l1_801200,商贸零售,801200.SI,商贸零售,BK1213,215,-1.39,吉峰科技,600250,南京商旅,13.74,1.03,725259883.0,16.63,0.8195,False,5
sw_l1_801210,社会服务,801210.SI,社会服务,BK1214,273,-1.66,*ST云网,600754,锦江酒店,28.15,-3.6,509367286.0,1.99,0.84321,False,1
sw_l1_801210,社会服务,801210.SI,社会服务,BK1214,273,-1.66,*ST云网,600158,中体产业,11.59,1.31,1171029512.0,10.42,0.832716,False,2
sw_l1_801210,社会服务,801210.SI,社会服务,BK1214,273,-1.66,*ST云网,600258,首旅酒店,15.57,-4.01,342370347.0,1.97,0.822222,False,3
sw_l1_801210,社会服务,801210.SI,社会服务,BK1214,273,-1.66,*ST云网,000796,凯撒旅业,5.2,-3.17,188446559.0,2.7,0.81358,False,4
sw_l1_801210,社会服务,801210.SI,社会服务,BK1214,273,-1.66,*ST云网,000524,岭南控股,10.89,-4.47,186585692.69,2.54,0.808642,False,5
sw_l1_801780,银行,801780.SI,银行,BK1283,53,0.37,农业银行,601288,农业银行,6.92,3.44,3860679040.0,0.18,0.913095,True,1
sw_l1_801780,银行,801780.SI,银行,BK1283,53,0.37,农业银行,000001,平安银行,11.27,1.08,1292756711.67,0.59,0.775,False,2
sw_l1_801780,银行,801780.SI,银行,BK1283,53,0.37,农业银行,601328,交通银行,7.09,1.14,1037757399.0,0.56,0.757143,False,3
sw_l1_801780,银行,801780.SI,银行,BK1283,53,0.37,农业银行,601988,中国银行,5.94,1.19,1738174185.0,0.14,0.747619,False,4
sw_l1_801780,银行,801780.SI,银行,BK1283,53,0.37,农业银行,601939,建设银行,9.58,1.38,825714633.0,0.9,0.738095,False,5
sw_l1_801790,非银金融,801790.SI,非银金融,BK1203,297,-1.75,四川双马,300059,东方财富,18.75,-2.29,3391422872.83,1.35,0.860759,False,1
sw_l1_801790,非银金融,801790.SI,非银金融,BK1203,297,-1.75,四川双马,002797,第一创业,7.03,-3.96,1086311894.82,3.64,0.840506,False,2
